Message	isRefactoring
HSEARCH 2637 JSR 352: use an actual Session in EntityReader	0
using commons httpclient for login request. bypass manual encoding handling	0
Updated connection routing	0
HBASE 15477 Purge 'next block header' from cached blocks	0
Using weak references instead when storing activities so that memory is freed whenever an activity is not needed anymore	0
CDITCK 408 Container lifecycle event methods invoked outside of extension observers	0
impr(engine): update ldap module to use new encryption API	0
only care about orphaned pseudo FluxtreamCapture channels	0
SONARIDE 338 Make it possible to configure the marker severity associated to Sonar violations	0
Integrate Sven updates	0
SONAR 5389 New dependency API	0
HTML 547   Support for calling arbitrary javascript depending on the selected value of an obs	0
Proactive rollback pruning   in progress	0
integ tests now passing	0
IconLabels: Better label rendering of text when the icon has focus.	0
Engine: KVM v2v   no need to ask for ovf for KVM vms	0
KS 1135 Watch my Topics and replies options	0
Single tabs can be shown and updated during runtime	0
Make item displays load later.	0
Updates to the Items logic api and impl stub	0
[MOD] Adapted QName to Brackit QNm and included dependency on brackit in parent pom. Necessary because we want a tight integration and furthermore we want to use the Path class. [MOD] Some further adaptions regarding the path summary.	0
Randgen implementation	0
made PhpTest more checkstyle conform not ready yet	0
Implemented background mode on Composite	0
breakup destination screens	0
finalized functionality and tests	0
Documentation upgrades abound	0
Implemented parsing of statistics dynamic loading of the JDBC driver etc.	0
Things and more Things	0
Corporate agreement	0
Do not repopulate filled arrays	0
interpreter visitor	0
Bug # 229809 : NPE in Build Variables global preferences tab	0
Event Bus implementation  TODO see exceptions in test	0
Location handling updates	0
refs #153   CpaHelper accepts URL	0
SPR 5237:Default value for @RequestParam	0
TFile implementation	0
made it actually work instead of sit disconnected and broken.	0
Treat timed out connection as HTTP status error 503	0
Deprecating old versions of FX option Black pricing functions	0
Git Maintenance	0
Allowing dispatch soruces to be re targeted	0
82231 [build path] Hard to find type restriction compiler problem preferences	0
First working version of bubble set	0
Ported capture interface to Hibernate	0
HBASE 8877 Reentrant row locks (Dave Latham)	0
Closes #405; JSON query for !web.	0
[276825]   outstanding patch attached	0
JBIDE 9910 Proposal info for message bundles in code completion for EL	0
HBASE 17374 ZKPermissionWatcher crashed when grant after region close (Liu Junhong)	0
Results handing now common to all 3 test classes.	0
draft version issue 17	0
Print TX values in Wallet.toString()	0
[DROOLS 599] kjar archertype	0
WELD 1329 Make InjectionPoint injectable into observer methods	0
Handle unicodes and radix better in parseInt	0
svg based shapes.xml	0
JBActor no longer subclasses JLPCActor.	0
Bug 302582   [planner] P2 does not pick up higher version of already installed plug in from dropins	0
Start of app framework	0
Updated new configuration loading mechanism	0
Timer Boundary Events must stop when end date is reached	0
consolidation of all operation signatures	0
Migrated AS component to use Red Deer.	0
Implement fare breakdown	0
Stub tests for 8.3 make basic context abstract	0
JBIDE 7121   updating launch config UI to more fit user expectations	0
Solr Indexer ready	0
Updated views. Implemented musicbrainz api limit for get requests. Started musicbrainz api tests.	0
OOZIE 2273 MiniOozie does not work outside of Oozie (rkanter)	0
[DROOLS 1497] implement RuleEventListener (#284)	0
overdue: update tests to new conventions	0
Use Guava TypeToken instead of Guice TypeLiteral	0
updates in preparation for reviews	0
TaskRunner implemented	0
new method to copyMessages	0
HBASE 1551 HBase should manage multiple node ZooKeeper quorum	0
Make Runner subclassable and Arguments configurable	0
Support transitive importing of bundles :)	0
basic search working from the wiki page	0
SONAR 9616 Load Branch settings in CE	0
HBASE 840 More options on the row query in REST interface	0
Initial work on a remoting based EJB receiver	0
[jira] [HBASE 5744] Thrift server metrics should be long instead of int	0
